ImageID,NucleiID,Number_foci_method1,Number_foci_method2,Number_foci_method3,Intensity
32,18,171,53,283,1406.741206
32,19,199,55,367,1388.890213
32,20,12,3,43,704.7215533
32,21,25,6,112,773.3686421
32,22,2,0,4,15.36470652
32,23,0,0,5,10.69019651
33,1,23,6,65,759.3137514
33,2,43,22,94,830.9059025
33,3,100,40,172,1864.937266
33,4,0,0,0,10.08235303
33,5,27,6,66,650.7372658
33,6,5,2,6,100.0901987
33,7,151,54,236,1011.415704
33,8,192,76,273,1089.03531
33,9,91,33,180,1694.835332
33,10,206,64,340,1465.400018
33,11,109,31,200,976.0196352
33,12,34,3,98,799.3411994
33,13,3,0,7,10.84705921
33,14,55,15,139,1027.478458
33,15,44,3,126,754.6078587
33,16,20,6,56,429.5646996
33,17,2,0,7,157.7646996
33,18,1,0,2,24.68627352
33,19,213,91,284,1233.16472
33,20,38,7,145,967.0157141
33,21,14,1,37,329.5058851
33,22,15,4,38,270.6627483
33,23,100,20,192,663.6196166
34,1,25,1,74,847.6784696
34,2,68,11,143,984.4509919
34,3,51,8,146,949.9059079
34,4,128,33,276,1617.690253
34,5,70,10,156,1030.172562
34,6,8,0,34,717.0980735
34,7,41,7,78,433.1490365
34,8,18,0,39,184.4353013
34,9,18,3,69,867.9647414
34,10,31,7,88,522.1960996
34,11,0,0,6,633.1843403
34,12,1,0,3,665.3215974
34,13,2,0,52,1242.164757
35,1,2,0,5,13.26274563
35,2,171,49,274,1119.345125
35,3,316,157,445,2105.686306
35,4,16,5,43,741.2902214
35,5,4,0,4,10.2352943
35,6,2,1,7,21.21568666
35,7,6,6,6,46.92941204
35,8,162,50,274,2720.054952
35,9,42,16,105,900.2078716
35,10,1,0,4,8.450980633
35,11,112,25,198,939.2627667
35,12,33,16,82,954.3294409
35,13,78,24,172,909.6549292
35,14,101,29,163,658.3804055
35,15,136,34,264,1014.67453
35,16,48,10,116,601.5019737
35,17,17,2,51,267.9843211
35,18,117,28,266,997.4117856
35,19,166,55,286,1237.145125
35,20,3,1,5,12.66274565
35,21,2,0,2,12.20392187
36,1,0,0,1,32.6627458
36,2,10,1,29,1132.184347
36,3,3,1,11,575.686292
36,4,3,0,3,545.4353048
36,5,170,93,221,1263.894143
36,6,168,87,251,1466.058844
36,7,4,1,5,17.74117676
36,8,41,12,93,1153.176464
36,9,1,1,2,15.03921613
36,10,84,26,181,1301.584346
36,11,191,77,312,2320.533357
36,12,46,8,86,595.3411788
36,13,99,28,163,983.0941263
36,14,28,7,96,1212.415698
36,15,89,20,187,1926.937242
36,16,12,0,35,896.7450895
36,17,31,6,135,996.0078533
36,18,0,0,7,12.89019623
36,19,63,6,162,955.3803964
36,20,4,0,4,18.69803946
36,21,0,0,3,13.6
37,1,105,21,203,1255.474536
37,2,83,25,172,1404.764731
37,3,17,4,53,1101.368669
37,4,64,22,145,1852.278444
37,5,53,11,134,1262.223541
37,6,7,0,9,25.3411766
37,7,171,55,300,1750.137254
37,8,121,21,307,1781.949053
37,9,122,19,274,1791.61572
37,10,4,0,9,15.38823577
37,11,1,0,1,9.600000158
38,1,39,9,100,1052.980392
38,2,3,0,5,15.95686314
